iid,id,wave,pid,age,amb1_1,amb2_1,amb3_1,art,attr1_1,attr2_1,attr3_1,career_c,clubbing,concerts,date,dining,exercise,exphappy,field_cd,fun1_1,fun2_1,fun3_1,gaming,gender,go_out,goal,hiking,imprace,imprelig,intel1_1,intel2_1,intel3_1,movies,museums,music,race,reading,shar1_1,shar2_1,shopping,sinc1_1,sinc2_1,sinc3_1,sports,theater,tv,tvsports,yoga,dec,match
2,2,1,17,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,1,0
2,2,1,18,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
2,2,1,19,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,1,1
2,2,1,20,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,1,0
3,3,1,11,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,12,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,13,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,14,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,15,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,16,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,17,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,18,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,19,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
3,3,1,20,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,0,0
4,4,1,11,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,12,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,13,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,14,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,1,1
4,4,1,15,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,16,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,17,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,18,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,0,0
4,4,1,19,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,1,1
4,4,1,20,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,1,0
5,5,1,11,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,0,0
5,5,1,12,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,0,0
5,5,1,13,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,0,0
5,5,1,14,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,1
5,5,1,15,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,0,0
5,5,1,16,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,0
5,5,1,17,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,0
5,5,1,18,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,0
5,5,1,19,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,1
5,5,1,20,21.0,10.0,5.0,8.0,8.0,20.0,50.0,6.0,1.0,8.0,3.0,4.0,7.0,7.0,7.0,1.0,25.0,20.0,6.0,6.0,0.0,1.0,2.0,6.0,8.0,1.0,25.0,10.0,10.0,6.0,6.0,7.0,2.0,6.0,15.0,5.0,8.0,5.0,10.0,3.0,7.0,6.0,8.0,4.0,3.0,1,0
6,6,1,11,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,0
6,6,1,12,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,0
6,6,1,13,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,0,0
6,6,1,14,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,1
6,6,1,15,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,0,0
6,6,1,16,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,0,0
6,6,1,17,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,0
6,6,1,18,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,0,0
6,6,1,19,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,1
6,6,1,20,23.0,5.0,10.0,5.0,7.0,10.0,25.0,5.0,1.0,6.0,6.0,3.0,7.0,9.0,4.0,1.0,25.0,25.0,8.0,2.0,0.0,1.0,1.0,9.0,1.0,1.0,20.0,10.0,9.0,6.0,8.0,4.0,4.0,9.0,15.0,20.0,1.0,25.0,10.0,7.0,10.0,5.0,2.0,8.0,1.0,1,0
7,7,1,11,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,12,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,13,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,14,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,1,1
7,7,1,15,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,16,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,17,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,1,0
7,7,1,18,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,0,0
7,7,1,19,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,1,1
7,7,1,20,22.0,15.0,10.0,7.0,10.0,15.0,30.0,6.0,1.0,8.0,10.0,5.0,10.0,4.0,7.0,1.0,20.0,25.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,25.0,13.0,7.0,10.0,10.0,10.0,4.0,8.0,10.0,10.0,10.0,15.0,12.0,6.0,5.0,10.0,8.0,3.0,10.0,1,0
