iid,pid,wave,dec,match,age_A,amb1_1_A,amb2_1_A,amb3_1_A,art_A,attr1_1_A,attr2_1_A,attr3_1_A,career_c_A,clubbing_A,concerts_A,date_A,dining_A,exercise_A,exphappy_A,field_cd_A,fun1_1_A,fun2_1_A,fun3_1_A,gaming_A,gender_A,go_out_A,goal_A,hiking_A,imprace_A,imprelig_A,intel1_1_A,intel2_1_A,intel3_1_A,movies_A,museums_A,music_A,race_A,reading_A,shar1_1_A,shar2_1_A,shopping_A,sinc1_1_A,sinc2_1_A,sinc3_1_A,sports_A,theater_A,tv_A,tvsports_A,yoga_A,age_B,amb1_1_B,amb2_1_B,amb3_1_B,art_B,attr1_1_B,attr2_1_B,attr3_1_B,career_c_B,clubbing_B,concerts_B,date_B,dining_B,exercise_B,exphappy_B,field_cd_B,fun1_1_B,fun2_1_B,fun3_1_B,gaming_B,gender_B,go_out_B,goal_B,hiking_B,imprace_B,imprelig_B,intel1_1_B,intel2_1_B,intel3_1_B,movies_B,museums_B,music_B,race_B,reading_B,shar1_1_B,shar2_1_B,shopping_B,sinc1_1_B,sinc2_1_B,sinc3_1_B,sports_B,theater_B,tv_B,tvsports_B,yoga_B
2,11,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,27.0,0.0,25.0,5.0,5.0,35.0,25.0,8.0,2.0,4.0,7.0,5.0,6.0,2.0,7.0,8.0,20.0,20.0,7.0,5.0,1.0,4.0,1.0,5.0,7.0,3.0,20.0,20.0,8.0,8.0,7.0,8.0,2.0,9.0,5.0,5.0,5.0,20.0,5.0,9.0,8.0,4.0,2.0,7.0,1.0
2,12,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,22.0,0.0,15.0,9.0,6.0,60.0,25.0,9.0,1.0,5.0,7.0,1.0,8.0,9.0,7.0,1.0,40.0,20.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,25.0,10.0,7.0,7.0,9.0,2.0,6.0,0.0,0.0,5.0,0.0,15.0,9.0,9.0,4.0,6.0,7.0,5.0
2,13,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,22.0,14.0,16.0,3.0,6.0,19.0,20.0,4.0,1.0,7.0,9.0,7.0,9.0,2.0,3.0,1.0,18.0,18.0,8.0,7.0,1.0,1.0,2.0,4.0,3.0,5.0,19.0,16.0,8.0,8.0,5.0,9.0,4.0,6.0,12.0,14.0,8.0,18.0,16.0,7.0,7.0,10.0,8.0,8.0,1.0
2,14,1,1,1,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,23.0,5.0,5.0,9.0,3.0,30.0,20.0,9.0,1.0,8.0,6.0,4.0,8.0,8.0,8.0,1.0,40.0,20.0,9.0,8.0,1.0,1.0,2.0,10.0,1.0,1.0,15.0,20.0,9.0,10.0,3.0,8.0,2.0,6.0,5.0,20.0,6.0,5.0,15.0,9.0,10.0,3.0,7.0,6.0,1.0
2,15,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,24.0,10.0,10.0,9.0,3.0,30.0,20.0,7.0,1.0,9.0,6.0,4.0,7.0,9.0,5.0,1.0,10.0,20.0,7.0,7.0,1.0,1.0,1.0,6.0,3.0,1.0,20.0,20.0,9.0,9.0,4.0,7.0,3.0,8.0,20.0,10.0,2.0,10.0,20.0,7.0,9.0,9.0,6.0,7.0,1.0
2,16,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,25.0,0.0,5.0,6.0,7.0,50.0,50.0,6.0,7.0,5.0,7.0,5.0,7.0,6.0,7.0,8.0,10.0,5.0,8.0,5.0,1.0,1.0,1.0,5.0,9.0,2.0,30.0,30.0,8.0,8.0,7.0,8.0,2.0,8.0,10.0,5.0,6.0,0.0,5.0,6.0,7.0,7.0,3.0,2.0,1.0
2,17,1,1,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,30.0,5.0,10.0,4.0,5.0,35.0,25.0,7.0,2.0,6.0,7.0,3.0,7.0,9.0,4.0,13.0,10.0,20.0,6.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,25.0,20.0,8.0,9.0,7.0,7.0,2.0,4.0,10.0,5.0,2.0,15.0,20.0,7.0,8.0,7.0,2.0,2.0,2.0
2,18,1,0,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,27.0,11.11,25.0,9.0,3.0,33.33,10.0,6.0,7.0,2.0,3.0,6.0,9.0,5.0,5.0,8.0,11.11,25.0,6.0,4.0,1.0,1.0,1.0,4.0,8.0,8.0,11.11,20.0,8.0,9.0,4.0,6.0,2.0,6.0,22.22,10.0,2.0,11.11,10.0,8.0,5.0,3.0,9.0,5.0,1.0
2,19,1,1,1,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,28.0,0.0,10.0,10.0,5.0,50.0,40.0,10.0,7.0,9.0,7.0,1.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,7.0,1.0,1.0,4.0,6.0,1.0,1.0,25.0,20.0,10.0,7.0,5.0,7.0,2.0,8.0,15.0,5.0,7.0,0.0,15.0,6.0,10.0,1.0,1.0,10.0,10.0
2,20,1,1,0,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,24.0,0.0,10.0,10.0,9.0,100.0,50.0,7.0,7.0,10.0,6.0,1.0,10.0,10.0,6.0,8.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,10.0,10.0,8.0,9.0,6.0,2.0,8.0,0.0,10.0,5.0,0.0,10.0,7.0,10.0,8.0,3.0,10.0,10.0
3,11,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,27.0,0.0,25.0,5.0,5.0,35.0,25.0,8.0,2.0,4.0,7.0,5.0,6.0,2.0,7.0,8.0,20.0,20.0,7.0,5.0,1.0,4.0,1.0,5.0,7.0,3.0,20.0,20.0,8.0,8.0,7.0,8.0,2.0,9.0,5.0,5.0,5.0,20.0,5.0,9.0,8.0,4.0,2.0,7.0,1.0
3,12,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,22.0,0.0,15.0,9.0,6.0,60.0,25.0,9.0,1.0,5.0,7.0,1.0,8.0,9.0,7.0,1.0,40.0,20.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,25.0,10.0,7.0,7.0,9.0,2.0,6.0,0.0,0.0,5.0,0.0,15.0,9.0,9.0,4.0,6.0,7.0,5.0
3,13,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,22.0,14.0,16.0,3.0,6.0,19.0,20.0,4.0,1.0,7.0,9.0,7.0,9.0,2.0,3.0,1.0,18.0,18.0,8.0,7.0,1.0,1.0,2.0,4.0,3.0,5.0,19.0,16.0,8.0,8.0,5.0,9.0,4.0,6.0,12.0,14.0,8.0,18.0,16.0,7.0,7.0,10.0,8.0,8.0,1.0
3,14,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,23.0,5.0,5.0,9.0,3.0,30.0,20.0,9.0,1.0,8.0,6.0,4.0,8.0,8.0,8.0,1.0,40.0,20.0,9.0,8.0,1.0,1.0,2.0,10.0,1.0,1.0,15.0,20.0,9.0,10.0,3.0,8.0,2.0,6.0,5.0,20.0,6.0,5.0,15.0,9.0,10.0,3.0,7.0,6.0,1.0
3,15,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,24.0,10.0,10.0,9.0,3.0,30.0,20.0,7.0,1.0,9.0,6.0,4.0,7.0,9.0,5.0,1.0,10.0,20.0,7.0,7.0,1.0,1.0,1.0,6.0,3.0,1.0,20.0,20.0,9.0,9.0,4.0,7.0,3.0,8.0,20.0,10.0,2.0,10.0,20.0,7.0,9.0,9.0,6.0,7.0,1.0
3,16,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,25.0,0.0,5.0,6.0,7.0,50.0,50.0,6.0,7.0,5.0,7.0,5.0,7.0,6.0,7.0,8.0,10.0,5.0,8.0,5.0,1.0,1.0,1.0,5.0,9.0,2.0,30.0,30.0,8.0,8.0,7.0,8.0,2.0,8.0,10.0,5.0,6.0,0.0,5.0,6.0,7.0,7.0,3.0,2.0,1.0
3,17,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,30.0,5.0,10.0,4.0,5.0,35.0,25.0,7.0,2.0,6.0,7.0,3.0,7.0,9.0,4.0,13.0,10.0,20.0,6.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,25.0,20.0,8.0,9.0,7.0,7.0,2.0,4.0,10.0,5.0,2.0,15.0,20.0,7.0,8.0,7.0,2.0,2.0,2.0
3,18,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,27.0,11.11,25.0,9.0,3.0,33.33,10.0,6.0,7.0,2.0,3.0,6.0,9.0,5.0,5.0,8.0,11.11,25.0,6.0,4.0,1.0,1.0,1.0,4.0,8.0,8.0,11.11,20.0,8.0,9.0,4.0,6.0,2.0,6.0,22.22,10.0,2.0,11.11,10.0,8.0,5.0,3.0,9.0,5.0,1.0
3,19,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,28.0,0.0,10.0,10.0,5.0,50.0,40.0,10.0,7.0,9.0,7.0,1.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,7.0,1.0,1.0,4.0,6.0,1.0,1.0,25.0,20.0,10.0,7.0,5.0,7.0,2.0,8.0,15.0,5.0,7.0,0.0,15.0,6.0,10.0,1.0,1.0,10.0,10.0
3,20,1,0,0,25.0,10.0,0.0,8.0,5.0,35.0,50.0,8.0,2.0,5.0,7.0,3.0,8.0,7.0,4.0,2.0,10.0,30.0,8.0,4.0,0.0,1.0,6.0,8.0,8.0,4.0,35.0,20.0,9.0,7.0,5.0,5.0,2.0,7.0,0.0,0.0,8.0,10.0,0.0,9.0,3.0,7.0,8.0,8.0,7.0,24.0,0.0,10.0,10.0,9.0,100.0,50.0,7.0,7.0,10.0,6.0,1.0,10.0,10.0,6.0,8.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,10.0,10.0,8.0,9.0,6.0,2.0,8.0,0.0,10.0,5.0,0.0,10.0,7.0,10.0,8.0,3.0,10.0,10.0
4,11,1,0,0,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,27.0,0.0,25.0,5.0,5.0,35.0,25.0,8.0,2.0,4.0,7.0,5.0,6.0,2.0,7.0,8.0,20.0,20.0,7.0,5.0,1.0,4.0,1.0,5.0,7.0,3.0,20.0,20.0,8.0,8.0,7.0,8.0,2.0,9.0,5.0,5.0,5.0,20.0,5.0,9.0,8.0,4.0,2.0,7.0,1.0
4,12,1,0,0,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,22.0,0.0,15.0,9.0,6.0,60.0,25.0,9.0,1.0,5.0,7.0,1.0,8.0,9.0,7.0,1.0,40.0,20.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,25.0,10.0,7.0,7.0,9.0,2.0,6.0,0.0,0.0,5.0,0.0,15.0,9.0,9.0,4.0,6.0,7.0,5.0
4,13,1,0,0,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,22.0,14.0,16.0,3.0,6.0,19.0,20.0,4.0,1.0,7.0,9.0,7.0,9.0,2.0,3.0,1.0,18.0,18.0,8.0,7.0,1.0,1.0,2.0,4.0,3.0,5.0,19.0,16.0,8.0,8.0,5.0,9.0,4.0,6.0,12.0,14.0,8.0,18.0,16.0,7.0,7.0,10.0,8.0,8.0,1.0
4,14,1,1,1,23.0,10.0,5.0,8.0,7.0,20.0,30.0,7.0,1.0,7.0,8.0,5.0,7.0,6.0,1.0,1.0,20.0,30.0,9.0,5.0,0.0,1.0,1.0,7.0,1.0,1.0,20.0,15.0,7.0,7.0,6.0,7.0,2.0,7.0,10.0,10.0,1.0,20.0,10.0,8.0,1.0,9.0,7.0,1.0,8.0,23.0,5.0,5.0,9.0,3.0,30.0,20.0,9.0,1.0,8.0,6.0,4.0,8.0,8.0,8.0,1.0,40.0,20.0,9.0,8.0,1.0,1.0,2.0,10.0,1.0,1.0,15.0,20.0,9.0,10.0,3.0,8.0,2.0,6.0,5.0,20.0,6.0,5.0,15.0,9.0,10.0,3.0,7.0,6.0,1.0
